1645651859.000000, IBI
25.953125,0.734375
26.531250,0.578125
97.734375,0.453125
158.828125,0.968750
420.515625,0.640625
463.812500,0.843750
464.796875,0.984375
722.421875,1.015625
749.234375,0.609375
759.609375,0.953125
760.484375,0.875000
761.234375,0.750000
762.140625,0.906250
763.062500,0.921875
879.093750,1.171875
943.859375,0.703125
944.593750,0.734375
1718.390625,0.875000
1838.906250,0.343750
1888.453125,0.578125
1969.125000,1.218750
1970.109375,0.984375
1971.328125,1.218750
2149.578125,1.343750
2150.625000,1.046875
2165.531250,0.828125
2284.625000,0.500000
2553.609375,0.578125
2634.125000,1.046875
2721.375000,0.515625
2760.640625,0.593750
2761.390625,0.750000
2762.140625,0.750000
2835.750000,0.765625
2898.640625,0.578125
2899.390625,0.750000
2899.937500,0.546875
2900.593750,0.656250
2955.078125,0.828125
2956.093750,1.015625
3371.015625,0.484375
3435.906250,0.359375
3588.500000,0.484375
3622.375000,0.609375
3657.546875,0.500000
3714.906250,0.390625
3795.890625,0.500000
3871.437500,0.343750
3905.468750,0.640625
3940.625000,0.359375
3950.734375,0.375000
3951.203125,0.468750
3968.984375,0.531250
3987.390625,0.687500
3988.140625,0.750000
3997.984375,0.687500
4199.343750,0.375000
4199.781250,0.437500
4222.468750,0.453125
4284.828125,0.609375
