1645651859.000000, 1645651859.000000, 1645651859.000000
32.000000, 32.000000, 32.000000
-13,-5,63
-12,-5,62
-13,-6,61
-15,-7,60
-14,-7,61
-15,-7,62
-11,-8,63
-17,-6,61
-18,-5,60
-15,-6,61
-16,-6,60
-13,-6,65
-17,-6,61
-19,-6,60
-19,-7,61
-21,-7,61
-21,-6,60
-18,-6,60
-18,-6,61
-19,-6,61
-20,-6,61
-19,-7,61
-18,-7,61
-19,-7,61
-18,-6,61
-18,-7,61
-18,-7,61
-19,-7,62
-19,-7,63
-17,-7,58
-20,-6,61
-20,-6,61
-15,-7,61
-15,-6,61
-19,-6,60
-20,-6,61
-20,-6,61
-20,-5,61
-20,-6,60
-21,-6,60
-23,-5,60
-23,-6,60
-21,-6,60
-20,-6,60
-20,-6,60
-22,-6,60
-23,-6,60
-22,-6,59
-23,-5,60
-23,-6,59
-23,-5,60
-22,-5,60
-22,-6,60
-22,-6,59
-24,-5,59
-23,-5,59
-22,-5,60
-23,-5,59
-23,-5,59
-22,-5,60
-22,-5,60
-23,-5,60
-22,-5,60
-22,-5,60
-23,-5,59
-23,-5,60
-22,-5,60
-22,-5,60
-23,-5,59
-23,-5,59
-22,-5,60
-22,-5,59
-23,-5,60
-23,-5,59
-22,-5,60
-23,-5,60
-22,-5,59
-22,-5,60
-22,-5,59
-23,-5,60
-22,-5,59
-23,-5,59
-23,-6,59
-24,-5,60
-22,-5,60
-21,-5,59
-21,-5,61
-20,-4,61
-20,-5,61
-21,-5,61
-21,-6,59
-19,-4,61
-17,-3,61
-18,-4,62
-16,-4,61
-15,-4,61
-16,-5,62
-17,-4,62
-16,-4,61
-14,-4,62
-15,-4,62
-17,-4,62
-17,-4,62
-17,-5,62
-13,-5,62
-15,-6,61
-17,-10,58
-20,-8,62
-5,-1,64
1,-5,61
-1,-3,64
-9,-6,63
-6,-7,65
-2,-6,63
-9,-7,62
-11,-7,62
-7,-7,64
-6,-5,63
-13,-5,61
-5,-5,65
-7,-7,61
-10,-6,64
-7,-8,66
-3,-9,66
-2,-12,64
-1,-11,64
-6,-10,66
2,-9,70
9,-8,68
6,-10,69
0,-9,67
-1,-5,72
-6,-2,72
-8,-4,64
-9,-3,62
-2,1,57
5,2,55
12,8,57
27,14,60
32,17,62
35,20,56
35,20,53
31,17,50
27,15,49
26,15,52
24,15,52
26,16,55
26,16,56
30,13,53
34,10,49
30,8,51
14,6,47
1,4,36
-28,-1,21
-50,2,14
-69,1,16
-71,6,23
-128,53,60
-33,18,44
-14,17,43
-42,15,36
-68,15,34
-83,15,36
-55,13,41
-7,2,58
-18,-1,54
-39,4,43
-77,4,21
-77,5,19
-60,5,28
-52,4,33
-48,4,37
-52,4,36
-56,4,37
-53,5,40
-49,5,40
-53,4,38
-55,5,36
-53,5,36
-53,4,36
-52,3,37
-52,2,37
-52,4,38
-51,4,39
-47,4,42
-47,3,42
-49,3,41
-49,2,40
-46,1,41
-48,2,41
-53,4,40
-50,4,38
-51,4,40
-53,5,40
-52,7,40
-68,11,35
-74,-15,48
-82,-21,52
-51,-42,54
-35,-29,62
-10,-23,73
-19,-14,65
-17,-10,51
-1,-8,37
9,-7,38
4,-3,44
-3,-4,47
-7,-13,45
-6,-17,45
-23,-20,48
-44,-40,43
-57,-44,31
-47,-28,73
-22,-28,61
0,-22,57
8,-17,65
17,-16,69
18,-20,68
3,-25,64
-15,-24,61
-30,-23,61
-38,-27,62
-29,-29,69
-16,-23,75
-8,-23,66
10,-30,45
8,-33,37
7,-37,31
22,-36,35
17,-32,39
12,-27,46
