Apr. 30, 2021   18:39:33
Amperometric i-t Curve
File: d:\research\projects\2020 inkjet multimodal sensors\on-body data\20210430 trial of 2 glucose on-body_success but noisy_press sensor next time\02_sweat stability_on body 2500s juice intake.txt
Data Source:  Experiment
Instrument Model:  CHI832D
Header: 
Note: 

Init E (V) = -0.04
Sample Interval (s) = 1
Run Time (sec) = 9.6e+4
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-7

1.200e+2, -1.136e-7, -1.311e-7
1.210e+2, -1.126e-7, -1.318e-7
1.220e+2, -1.104e-7, -1.286e-7
1.230e+2, -1.102e-7, -1.273e-7
1.240e+2, -1.109e-7, -1.264e-7
1.250e+2, -1.099e-7, -1.256e-7
1.260e+2, -1.116e-7, -1.270e-7
1.270e+2, -1.095e-7, -1.238e-7
1.280e+2, -1.068e-7, -1.217e-7
1.290e+2, -1.078e-7, -1.224e-7
1.300e+2, -1.068e-7, -1.207e-7
1.310e+2, -1.059e-7, -1.206e-7
1.320e+2, -1.077e-7, -1.216e-7
1.330e+2, -1.056e-7, -1.218e-7
1.340e+2, -1.038e-7, -1.204e-7
1.350e+2, -1.064e-7, -1.228e-7
1.360e+2, -1.067e-7, -1.204e-7
1.370e+2, -1.056e-7, -1.226e-7
1.380e+2, -1.059e-7, -1.234e-7
1.390e+2, -1.061e-7, -1.238e-7
1.400e+2, -1.048e-7, -1.232e-7
1.410e+2, -1.035e-7, -1.234e-7
1.420e+2, -1.014e-7, -1.275e-7
1.430e+2, -9.476e-8, -1.259e-7
1.440e+2, -1.042e-7, -1.256e-7
1.450e+2, -1.021e-7, -1.264e-7
1.460e+2, -1.037e-7, -1.269e-7
1.470e+2, -1.008e-7, -1.252e-7
1.480e+2, -1.031e-7, -1.270e-7
1.490e+2, -1.019e-7, -1.258e-7
1.500e+2, -1.011e-7, -1.255e-7
1.510e+2, -1.030e-7, -1.259e-7
1.520e+2, -1.025e-7, -1.273e-7
1.530e+2, -9.877e-8, -1.235e-7
1.540e+2, -9.990e-8, -1.232e-7
1.550e+2, -9.915e-8, -1.234e-7
1.560e+2, -1.001e-7, -1.225e-7
1.570e+2, -9.892e-8, -1.226e-7
1.580e+2, -9.886e-8, -1.232e-7
1.590e+2, -9.997e-8, -1.224e-7
1.600e+2, -9.789e-8, -1.229e-7
1.610e+2, -9.832e-8, -1.208e-7
1.620e+2, -9.849e-8, -1.230e-7
1.630e+2, -1.007e-7, -1.216e-7
1.640e+2, -9.909e-8, -1.204e-7
1.650e+2, -9.751e-8, -1.195e-7
1.660e+2, -9.636e-8, -1.170e-7
1.670e+2, -9.617e-8, -1.174e-7
1.680e+2, -9.509e-8, -1.166e-7
1.690e+2, -9.947e-8, -1.191e-7
1.700e+2, -9.784e-8, -1.213e-7
1.710e+2, -9.213e-8, -1.170e-7
1.720e+2, -9.826e-8, -1.147e-7
1.730e+2, -1.000e-7, -1.172e-7
1.740e+2, -9.526e-8, -1.170e-7
1.750e+2, -9.245e-8, -1.141e-7
1.760e+2, -9.393e-8, -1.116e-7
1.770e+2, -9.594e-8, -1.128e-7
1.780e+2, -1.002e-7, -1.171e-7
1.790e+2, -1.002e-7, -1.138e-7
1.800e+2, -9.655e-8, -1.125e-7
1.810e+2, -9.592e-8, -1.106e-7
1.820e+2, -9.688e-8, -1.114e-7
1.830e+2, -9.387e-8, -1.099e-7
1.840e+2, -9.652e-8, -1.113e-7
1.850e+2, -9.739e-8, -1.110e-7
1.860e+2, -9.581e-8, -1.122e-7
1.870e+2, -9.844e-8, -1.104e-7
1.880e+2, -9.405e-8, -1.080e-7
1.890e+2, -9.437e-8, -1.084e-7
1.900e+2, -9.987e-8, -1.103e-7
1.910e+2, -9.733e-8, -1.086e-7
1.920e+2, -9.604e-8, -1.076e-7
1.930e+2, -9.308e-8, -1.066e-7
1.940e+2, -9.225e-8, -1.070e-7
1.950e+2, -9.673e-8, -1.085e-7
1.960e+2, -8.964e-8, -1.037e-7
1.970e+2, -8.847e-8, -1.024e-7
1.980e+2, -9.015e-8, -1.024e-7
1.990e+2, -9.282e-8, -1.065e-7
2.000e+2, -9.446e-8, -1.066e-7
2.010e+2, -9.182e-8, -1.060e-7
2.020e+2, -9.138e-8, -1.021e-7
2.030e+2, -9.275e-8, -1.053e-7
2.040e+2, -9.075e-8, -1.059e-7
2.050e+2, -9.585e-8, -1.071e-7
2.060e+2, -9.109e-8, -1.067e-7
2.070e+2, -9.014e-8, -1.065e-7
2.080e+2, -8.925e-8, -1.067e-7
2.090e+2, -9.296e-8, -1.086e-7
2.100e+2, -9.095e-8, -1.087e-7
2.110e+2, -9.103e-8, -1.088e-7
2.120e+2, -8.727e-8, -1.066e-7
2.130e+2, -9.074e-8, -1.081e-7
2.140e+2, -8.518e-8, -1.084e-7
2.150e+2, -8.238e-8, -1.075e-7
2.160e+2, -8.689e-8, -1.079e-7
2.170e+2, -8.609e-8, -1.053e-7
2.180e+2, -8.541e-8, -1.082e-7
2.190e+2, -9.037e-8, -1.077e-7
2.200e+2, -7.859e-8, -1.077e-7
2.210e+2, -8.508e-8, -1.050e-7
2.220e+2, -8.495e-8, -1.077e-7
2.230e+2, -9.666e-8, -1.107e-7
2.240e+2, -9.922e-8, -1.032e-7
2.250e+2, -6.186e-8, -1.042e-7
2.260e+2, -7.767e-8, -9.389e-8
2.270e+2, -9.887e-8, -1.061e-7
2.280e+2, -8.501e-8, -1.060e-7
2.290e+2, -8.916e-8, -1.073e-7
2.300e+2, -9.189e-8, -1.058e-7
2.310e+2, -8.440e-8, -1.049e-7
2.320e+2, -8.244e-8, -1.034e-7
2.330e+2, -7.985e-8, -1.033e-7
2.340e+2, -7.586e-8, -1.029e-7
2.350e+2, -8.650e-8, -1.015e-7
2.360e+2, -7.933e-8, -1.017e-7
2.370e+2, -7.394e-8, -1.012e-7
2.380e+2, -8.614e-8, -1.032e-7
2.390e+2, -8.099e-8, -1.016e-7
2.400e+2, -8.018e-8, -1.011e-7
2.410e+2, -8.249e-8, -1.018e-7
2.420e+2, -7.944e-8, -9.921e-8
2.430e+2, -7.670e-8, -9.817e-8
2.440e+2, -7.676e-8, -9.686e-8
2.450e+2, -7.845e-8, -9.702e-8
2.460e+2, -8.112e-8, -9.866e-8
2.470e+2, -7.956e-8, -9.759e-8
2.480e+2, -7.927e-8, -9.672e-8
2.490e+2, -7.999e-8, -9.757e-8
2.500e+2, -7.932e-8, -9.731e-8
2.510e+2, -7.451e-8, -9.197e-8
2.520e+2, -7.376e-8, -9.344e-8
2.530e+2, -7.602e-8, -9.023e-8
2.540e+2, -7.193e-8, -9.022e-8
2.550e+2, -6.965e-8, -8.534e-8
2.560e+2, -6.854e-8, -8.455e-8
2.570e+2, -7.036e-8, -8.413e-8
2.580e+2, -7.190e-8, -8.543e-8
2.590e+2, -6.926e-8, -8.295e-8
2.600e+2, -6.818e-8, -8.167e-8
2.610e+2, -7.174e-8, -8.919e-8
2.620e+2, -6.202e-8, -7.900e-8
2.630e+2, -6.388e-8, -7.897e-8
2.640e+2, -6.735e-8, -7.727e-8
2.650e+2, -6.184e-8, -7.348e-8
2.660e+2, -6.153e-8, -7.232e-8
2.670e+2, -6.234e-8, -7.334e-8
2.680e+2, -6.340e-8, -7.220e-8
2.690e+2, -5.280e-8, -6.660e-8
2.700e+2, -6.228e-8, -7.914e-8
2.710e+2, -7.897e-8, -7.791e-8
2.720e+2, -2.098e-8, -6.301e-8
2.730e+2, -5.980e-8, -6.556e-8
2.740e+2, -5.760e-8, -6.558e-8
2.750e+2, -5.741e-8, -6.402e-8
2.760e+2, -5.351e-8, -6.463e-8
2.770e+2, -6.246e-8, -6.738e-8
2.780e+2, -6.184e-8, -6.556e-8
2.790e+2, -5.961e-8, -6.669e-8
2.800e+2, -6.050e-8, -6.427e-8
2.810e+2, -5.996e-8, -6.412e-8
2.820e+2, -6.236e-8, -6.602e-8
2.830e+2, -6.328e-8, -6.751e-8
2.840e+2, -6.138e-8, -6.610e-8
2.850e+2, -6.016e-8, -6.595e-8
2.860e+2, -6.289e-8, -6.885e-8
2.870e+2, -6.307e-8, -6.978e-8
2.880e+2, -6.151e-8, -6.757e-8
2.890e+2, -6.234e-8, -6.697e-8
2.900e+2, -6.519e-8, -6.968e-8
2.910e+2, -6.221e-8, -6.916e-8
2.920e+2, -6.293e-8, -6.970e-8
2.930e+2, -5.905e-8, -7.274e-8
2.940e+2, -6.435e-8, -7.221e-8
2.950e+2, -6.264e-8, -7.192e-8
2.960e+2, -6.290e-8, -7.113e-8
2.970e+2, -6.363e-8, -7.001e-8
2.980e+2, -6.171e-8, -7.163e-8
2.990e+2, -6.533e-8, -7.322e-8
3.000e+2, -6.234e-8, -6.957e-8
3.010e+2, -6.028e-8, -6.859e-8
3.020e+2, -6.144e-8, -6.957e-8
3.030e+2, -6.195e-8, -6.807e-8
3.040e+2, -5.960e-8, -6.811e-8
3.050e+2, -6.263e-8, -6.880e-8
3.060e+2, -6.194e-8, -6.860e-8
3.070e+2, -6.380e-8, -7.035e-8
3.080e+2, -6.267e-8, -7.030e-8
3.090e+2, -6.323e-8, -7.027e-8
3.100e+2, -6.310e-8, -6.901e-8
3.110e+2, -5.656e-8, -6.880e-8
3.120e+2, -6.222e-8, -6.906e-8
3.130e+2, -6.534e-8, -6.332e-8
3.140e+2, -5.315e-8, -6.444e-8
3.150e+2, -6.961e-8, -6.735e-8
3.160e+2, -6.504e-8, -6.998e-8
3.170e+2, -5.752e-8, -6.607e-8
3.180e+2, -6.081e-8, -6.652e-8
3.190e+2, -6.031e-8, -6.524e-8
3.200e+2, -5.809e-8, -6.602e-8
3.210e+2, -5.630e-8, -6.119e-8
3.220e+2, -5.687e-8, -6.098e-8
3.230e+2, -6.482e-8, -6.138e-8
3.240e+2, -5.612e-8, -5.956e-8
3.250e+2, -5.750e-8, -6.210e-8
3.260e+2, -5.809e-8, -6.201e-8
3.270e+2, -5.646e-8, -5.985e-8
3.280e+2, -5.536e-8, -6.072e-8
3.290e+2, -5.801e-8, -7.205e-8
3.300e+2, -3.538e-8, -6.109e-8
3.310e+2, -6.044e-8, -6.646e-8
3.320e+2, -5.732e-8, -6.390e-8
3.330e+2, -5.702e-8, -6.370e-8
3.340e+2, -5.742e-8, -6.303e-8
3.350e+2, -5.972e-8, -6.533e-8
3.360e+2, -4.299e-8, -6.183e-8
3.370e+2, -5.910e-8, -6.471e-8
3.380e+2, -6.265e-8, -6.122e-8
3.390e+2, -5.854e-8, -6.538e-8
3.400e+2, -6.105e-8, -6.482e-8
3.410e+2, -5.367e-8, -6.427e-8
3.420e+2, -5.667e-8, -6.345e-8
3.430e+2, -5.644e-8, -6.309e-8
3.440e+2, -5.694e-8, -6.444e-8
3.450e+2, -5.334e-8, -6.171e-8
3.460e+2, -5.664e-8, -6.720e-8
3.470e+2, -5.038e-8, -6.156e-8
3.480e+2, -5.581e-8, -6.177e-8
3.490e+2, -5.707e-8, -6.546e-8
3.500e+2, -5.957e-8, -6.449e-8
3.510e+2, -6.524e-8, -6.456e-8
3.520e+2, -5.083e-8, -6.376e-8
3.530e+2, -5.891e-8, -6.542e-8
3.540e+2, -5.189e-8, -6.410e-8
3.550e+2, -6.084e-8, -6.542e-8
3.560e+2, -5.977e-8, -6.477e-8
3.570e+2, -5.973e-8, -6.693e-8
3.580e+2, -6.117e-8, -6.656e-8
3.590e+2, -5.822e-8, -6.546e-8
3.600e+2, -5.885e-8, -6.671e-8
3.610e+2, -5.944e-8, -6.806e-8
3.620e+2, -6.025e-8, -6.747e-8
3.630e+2, -5.908e-8, -6.689e-8
3.640e+2, -6.022e-8, -6.770e-8
3.650e+2, -6.046e-8, -6.658e-8
3.660e+2, -6.159e-8, -6.907e-8
3.670e+2, -6.056e-8, -6.910e-8
3.680e+2, -6.043e-8, -6.806e-8
3.690e+2, -6.205e-8, -6.857e-8
3.700e+2, -6.896e-8, -7.230e-8
3.710e+2, -6.274e-8, -7.118e-8
3.720e+2, -6.382e-8, -7.052e-8
3.730e+2, -6.465e-8, -7.361e-8
3.740e+2, -5.448e-8, -7.291e-8
3.750e+2, -6.466e-8, -7.282e-8
3.760e+2, -6.114e-8, -7.065e-8
3.770e+2, -6.298e-8, -7.183e-8
3.780e+2, -6.378e-8, -7.142e-8
3.790e+2, -6.039e-8, -7.000e-8
3.800e+2, -6.271e-8, -7.068e-8
3.810e+2, -6.326e-8, -7.230e-8
3.820e+2, -6.586e-8, -7.259e-8
3.830e+2, -6.148e-8, -7.099e-8
3.840e+2, -6.499e-8, -7.271e-8
3.850e+2, -6.393e-8, -7.185e-8
3.860e+2, -6.284e-8, -7.095e-8
3.870e+2, -7.270e-8, -6.820e-8
3.880e+2, -5.575e-8, -7.209e-8
3.890e+2, -6.443e-8, -7.374e-8
3.900e+2, -7.561e-8, -7.663e-8
3.910e+2, -6.088e-8, -7.530e-8
3.920e+2, -6.661e-8, -7.513e-8
3.930e+2, -6.445e-8, -7.616e-8
3.940e+2, -6.457e-8, -7.368e-8
3.950e+2, -6.521e-8, -7.438e-8
3.960e+2, -6.681e-8, -7.477e-8
3.970e+2, -6.506e-8, -7.339e-8
3.980e+2, -6.616e-8, -7.523e-8
3.990e+2, -6.719e-8, -7.677e-8
4.000e+2, -6.569e-8, -7.521e-8
4.010e+2, -6.844e-8, -7.652e-8
4.020e+2, -6.674e-8, -7.632e-8
4.030e+2, -6.639e-8, -7.525e-8
4.040e+2, -6.798e-8, -7.675e-8
4.050e+2, -6.878e-8, -7.756e-8
4.060e+2, -6.768e-8, -7.675e-8
4.070e+2, -6.507e-8, -7.633e-8
4.080e+2, -6.852e-8, -7.656e-8
4.090e+2, -6.546e-8, -7.629e-8
4.100e+2, -6.721e-8, -7.605e-8
4.110e+2, -6.728e-8, -7.437e-8
4.120e+2, -6.509e-8, -7.514e-8
4.130e+2, -6.752e-8, -7.560e-8
4.140e+2, -6.680e-8, -7.673e-8
4.150e+2, -6.956e-8, -7.823e-8
4.160e+2, -6.668e-8, -7.688e-8
4.170e+2, -6.991e-8, -7.804e-8
4.180e+2, -6.578e-8, -7.342e-8
4.190e+2, -7.454e-8, -7.950e-8
4.200e+2, -6.945e-8, -7.930e-8
4.210e+2, -6.826e-8, -7.823e-8
4.220e+2, -6.976e-8, -7.830e-8
